filingDate,form,accessionNumber,reportDate,primaryDocument,primaryDocDescription,url
2026-08-10,8-K,0001193125-26-342390,2026-08-10,d171253d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312526342390/d171253d8k.htm
2026-08-07,424B2,0001193125-26-340264,,d32286d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312526340264/d32286d424b2.htm
2026-07-23,10-Q,0001652044-26-000071,2026-06-30,goog-20260630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm
2026-07-22,8-K,0001652044-26-000066,2026-07-22,goog-20260722.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/goog-20260722.htm
2026-06-11,8-K,0001193125-26-267578,2026-06-05,d57679d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312526267578/d57679d8k.htm
2026-06-05,8-K,0001193125-26-259830,2026-06-05,d36818d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312526259830/d36818d8k.htm
2026-06-05,8-K,0001652044-26-000059,2026-06-02,goog-20260602.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000059/goog-20260602.htm
2026-06-04,8-K,0001193125-26-257724,2026-06-04,d83560d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257724/d83560d8k.htm
2026-05-21,8-K,0001193125-26-234488,2026-05-21,d144566d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312526234488/d144566d8k.htm
2026-05-11,8-K,0001193125-26-216986,2026-05-11,d109021d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312526216986/d109021d8k.htm
2026-05-07,424B2,0001193125-26-212210,,d152073d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312526212210/d152073d424b2.htm
2026-05-07,424B2,0001193125-26-212222,,d325417d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312526212222/d325417d424b2.htm
2026-04-30,10-Q,0001652044-26-000048,2026-03-31,goog-20260331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm
2026-04-29,8-K,0001652044-26-000043,2026-04-29,goog-20260429.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000043/goog-20260429.htm
2026-04-10,8-K,0001652044-26-000034,2026-04-07,goog-20260407.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000034/goog-20260407.htm
2026-04-02,8-K,0001652044-26-000031,2026-03-30,goog-20260330.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000031/goog-20260330.htm
2026-03-06,8-K,0001652044-26-000026,2026-03-04,goog-20260304.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000026/goog-20260304.htm
2026-02-13,8-K,0001193125-26-051423,2026-02-13,d946885d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312526051423/d946885d8k.htm
2026-02-12,424B2,0001193125-26-048730,,d108423d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312526048730/d108423d424b2.htm
2026-02-11,424B2,0001193125-26-046846,,d108033d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312526046846/d108033d424b2.htm
2026-02-05,10-K,0001652044-26-000018,2025-12-31,goog-20251231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
2026-02-04,8-K,0001652044-26-000012,2026-02-04,goog-20260204.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000012/goog-20260204.htm
2025-11-06,8-K,0001193125-25-269979,2025-11-06,d56115d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312525269979/d56115d8k.htm
2025-11-05,424B2,0001193125-25-267244,,d64361d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312525267244/d64361d424b2.htm
2025-11-05,424B2,0001193125-25-267232,,d65573d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312525267232/d65573d424b2.htm
2025-10-30,10-Q,0001652044-25-000091,2025-09-30,goog-20250930.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm
2025-10-29,8-K,0001652044-25-000087,2025-10-29,goog-20251029.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000087/goog-20251029.htm
2025-09-05,8-K,0001652044-25-000074,2025-09-05,goog-20250905.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000074/goog-20250905.htm
2025-09-03,8-K,0001652044-25-000067,2025-09-02,goog-20250902.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000067/goog-20250902.htm
2025-07-24,10-Q,0001652044-25-000062,2025-06-30,goog-20250630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm
2025-07-23,8-K,0001652044-25-000056,2025-07-23,goog-20250723.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000056/goog-20250723.htm
2025-07-18,8-K,0001193125-25-161225,2025-07-08,d21412d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312525161225/d21412d8k.htm
2025-06-12,8-K,0001193125-25-139948,2025-06-06,d949049d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312525139948/d949049d8k.htm
2025-05-06,8-K,0001193125-25-113864,2025-05-06,d859422d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312525113864/d859422d8k.htm
2025-05-01,424B2,0001193125-25-110061,,d926856d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312525110061/d926856d424b2.htm
2025-05-01,8-K,0001193125-25-110020,2025-05-01,d884388d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312525110020/d884388d8k.htm
2025-04-30,424B2,0001193125-25-107005,,d910841d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/1652044/000119312525107005/d910841d424b2.htm
2025-04-25,10-Q,0001652044-25-000043,2025-03-31,goog-20250331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/goog-20250331.htm
2025-04-24,8-K,0001652044-25-000040,2025-04-23,goog-20250423.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000040/goog-20250423.htm
2025-04-18,8-K,0001652044-25-000033,2025-04-17,goog-20250417.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000033/goog-20250417.htm
2025-03-18,8-K,0001652044-25-000027,2025-03-18,goog-20250318.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000027/goog-20250318.htm
2025-02-05,10-K,0001652044-25-000014,2024-12-31,goog-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
2025-02-04,8-K,0001652044-25-000010,2025-02-04,goog-20250204.htm,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000010/goog-20250204.htm
