tranche_id,issuer,currency,principal_local,coupon_pct,issue_price_pct,issue_yield_pct,benchmark,issue_spread_bps,issue_date,maturity_date,rate_type,secured,source_filing,source_url,notes,floating_margin_bps
GOOGL-2025-05-2030,Alphabet Inc.,USD,750000000,4.000,99.417,4.129,UST 3.875% due 2030-04-30,32,2025-05-01,2030-05-15,fixed,no,424B2 + FWP 2025-04-28,https://www.sec.gov/Archives/edgar/data/1652044/000119312525107005/d910841d424b2.htm,Senior unsecured; pricing from FWP,
GOOGL-2025-05-2035,Alphabet Inc.,USD,1250000000,4.500,98.585,4.678,UST 4.625% due 2035-02-15,47,2025-05-01,2035-05-15,fixed,no,424B2 + FWP 2025-04-28,https://www.sec.gov/Archives/edgar/data/1652044/000119312525107005/d910841d424b2.htm,Senior unsecured; pricing from FWP,
GOOGL-2025-05-2055,Alphabet Inc.,USD,1500000000,5.250,99.042,5.314,UST 4.500% due 2054-11-15,62,2025-05-01,2055-05-15,fixed,no,424B2 + FWP 2025-04-28,https://www.sec.gov/Archives/edgar/data/1652044/000119312525107005/d910841d424b2.htm,Senior unsecured; pricing from FWP,
GOOGL-2025-05-2065,Alphabet Inc.,USD,1500000000,5.300,98.461,5.394,UST 4.500% due 2054-11-15,70,2025-05-01,2065-05-15,fixed,no,424B2 + FWP 2025-04-28,https://www.sec.gov/Archives/edgar/data/1652044/000119312525107005/d910841d424b2.htm,Senior unsecured; pricing from FWP,
GOOGL-2026-08-2028-FRN,Alphabet Inc.,USD,750000000,,100.000,,,,2026-08-10,2028-08-10,floating,no,FWP 2026-08-06,https://www.sec.gov/Archives/edgar/data/1652044/000119312526338750/d159970dfwp.htm,Senior unsecured,44
GOOGL-2026-08-2029-FRN,Alphabet Inc.,USD,500000000,,100.000,,,,2026-08-10,2029-08-10,floating,no,FWP 2026-08-06,https://www.sec.gov/Archives/edgar/data/1652044/000119312526338750/d159970dfwp.htm,Senior unsecured,60
GOOGL-2026-08-2028,Alphabet Inc.,USD,1250000000,4.500,99.858,4.575,UST 4.250% due 2028-07-31,33,2026-08-10,2028-08-10,fixed,no,FWP 2026-08-06,https://www.sec.gov/Archives/edgar/data/1652044/000119312526338750/d159970dfwp.htm,Senior unsecured,
GOOGL-2026-08-2029,Alphabet Inc.,USD,2000000000,4.625,99.698,4.734,UST 4.125% due 2029-07-15,43,2026-08-10,2029-08-10,fixed,no,FWP 2026-08-06,https://www.sec.gov/Archives/edgar/data/1652044/000119312526338750/d159970dfwp.htm,Senior unsecured,
GOOGL-2026-08-2031,Alphabet Inc.,USD,3500000000,4.875,99.490,4.991,UST 4.375% due 2031-07-31,60,2026-08-10,2031-08-15,fixed,no,FWP 2026-08-06,https://www.sec.gov/Archives/edgar/data/1652044/000119312526338750/d159970dfwp.htm,Senior unsecured,
GOOGL-2026-08-2033,Alphabet Inc.,USD,2500000000,5.200,99.564,5.275,UST 4.375% due 2033-07-31,75,2026-08-10,2033-08-15,fixed,no,FWP 2026-08-06,https://www.sec.gov/Archives/edgar/data/1652044/000119312526338750/d159970dfwp.htm,Senior unsecured,
