tag,unit,value,period_start,period_end,form,fiscal_year,fiscal_period,filed,accession
DebtInstrumentCarryingAmount,USD,12000000000,,2024-12-31,10-Q,2025,Q1,2025-04-25,0001652044-25-000043
DebtInstrumentCarryingAmount,USD,12000000000,,2024-12-31,10-Q,2025,Q2,2025-07-24,0001652044-25-000062
DebtInstrumentCarryingAmount,USD,12000000000,,2024-12-31,10-Q,2025,Q3,2025-10-30,0001652044-25-000091
DebtInstrumentCarryingAmount,USD,12000000000,,2024-12-31,10-K,2025,FY,2026-02-05,0001652044-26-000018
DebtInstrumentCarryingAmount,USD,12000000000,,2025-03-31,10-Q,2025,Q1,2025-04-25,0001652044-25-000043
DebtInstrumentCarryingAmount,USD,24903000000,,2025-06-30,10-Q,2025,Q2,2025-07-24,0001652044-25-000062
DebtInstrumentCarryingAmount,USD,23892000000,,2025-09-30,10-Q,2025,Q3,2025-10-30,0001652044-25-000091
DebtInstrumentCarryingAmount,USD,49085000000,,2025-12-31,10-K,2025,FY,2026-02-05,0001652044-26-000018
DebtInstrumentCarryingAmount,USD,49085000000,,2025-12-31,10-Q,2026,Q1,2026-04-30,0001652044-26-000048
DebtInstrumentCarryingAmount,USD,49085000000,,2025-12-31,10-Q,2026,Q2,2026-07-23,0001652044-26-000071
DebtInstrumentCarryingAmount,USD,80305000000,,2026-03-31,10-Q,2026,Q1,2026-04-30,0001652044-26-000048
DebtInstrumentCarryingAmount,USD,101085000000,,2026-06-30,10-Q,2026,Q2,2026-07-23,0001652044-26-000071
DebtInstrumentFaceAmount,USD,1700000000,,2016-04-30,10-Q,2016,Q2,2016-08-04,0001652044-16-000032
InterestExpense,USD,81000000,2013-01-01,2013-12-31,10-K,2015,FY,2016-02-11,0001652044-16-000012
InterestExpense,USD,81000000,2013-01-01,2013-12-31,8-K,2015,FY,2016-05-03,0001652044-16-000022
InterestExpense,USD,76000000,2014-01-01,2014-09-30,10-Q,2015,Q3,2015-10-29,0001652044-15-000005
InterestExpense,USD,25000000,2014-07-01,2014-09-30,10-Q,2015,Q3,2015-10-29,0001652044-15-000005
InterestExpense,USD,101000000,2014-01-01,2014-12-31,10-K,2015,FY,2016-02-11,0001652044-16-000012
InterestExpense,USD,101000000,2014-01-01,2014-12-31,8-K,2015,FY,2016-05-03,0001652044-16-000022
InterestExpense,USD,101000000,2014-01-01,2014-12-31,10-K,2016,FY,2017-02-03,0001652044-17-000008
InterestExpense,USD,26000000,2015-01-01,2015-03-31,10-Q,2016,Q1,2016-05-03,0001652044-16-000021
InterestExpense,USD,52000000,2015-01-01,2015-06-30,10-Q,2016,Q2,2016-08-04,0001652044-16-000032
InterestExpense,USD,26000000,2015-04-01,2015-06-30,10-Q,2016,Q2,2016-08-04,0001652044-16-000032
InterestExpense,USD,78000000,2015-01-01,2015-09-30,10-Q,2015,Q3,2015-10-29,0001652044-15-000005
InterestExpense,USD,26000000,2015-07-01,2015-09-30,10-Q,2015,Q3,2015-10-29,0001652044-15-000005
InterestExpense,USD,78000000,2015-01-01,2015-09-30,10-Q,2016,Q3,2016-11-03,0001652044-16-000038
InterestExpense,USD,26000000,2015-07-01,2015-09-30,10-Q,2016,Q3,2016-11-03,0001652044-16-000038
InterestExpense,USD,104000000,2015-01-01,2015-12-31,10-K,2015,FY,2016-02-11,0001652044-16-000012
InterestExpense,USD,104000000,2015-01-01,2015-12-31,8-K,2015,FY,2016-05-03,0001652044-16-000022
InterestExpense,USD,104000000,2015-01-01,2015-12-31,10-K,2016,FY,2017-02-03,0001652044-17-000008
InterestExpense,USD,104000000,2015-01-01,2015-12-31,10-K,2017,FY,2018-02-06,0001652044-18-000007
InterestExpense,USD,30000000,2016-01-01,2016-03-31,10-Q,2016,Q1,2016-05-03,0001652044-16-000021
InterestExpense,USD,30000000,2016-01-01,2016-03-31,10-Q,2017,Q1,2017-05-02,0001652044-17-000014
InterestExpense,USD,62000000,2016-01-01,2016-06-30,10-Q,2016,Q2,2016-08-04,0001652044-16-000032
InterestExpense,USD,32000000,2016-04-01,2016-06-30,10-Q,2016,Q2,2016-08-04,0001652044-16-000032
InterestExpense,USD,62000000,2016-01-01,2016-06-30,10-Q,2017,Q2,2017-07-25,0001652044-17-000026
InterestExpense,USD,32000000,2016-04-01,2016-06-30,10-Q,2017,Q2,2017-07-25,0001652044-17-000026
InterestExpense,USD,91000000,2016-01-01,2016-09-30,10-Q,2016,Q3,2016-11-03,0001652044-16-000038
InterestExpense,USD,29000000,2016-07-01,2016-09-30,10-Q,2016,Q3,2016-11-03,0001652044-16-000038
InterestExpense,USD,91000000,2016-01-01,2016-09-30,10-Q,2017,Q3,2017-10-27,0001652044-17-000042
InterestExpense,USD,29000000,2016-07-01,2016-09-30,10-Q,2017,Q3,2017-10-27,0001652044-17-000042
InterestExpense,USD,124000000,2016-01-01,2016-12-31,10-K,2016,FY,2017-02-03,0001652044-17-000008
InterestExpense,USD,124000000,2016-01-01,2016-12-31,10-K,2017,FY,2018-02-06,0001652044-18-000007
InterestExpense,USD,124000000,2016-01-01,2016-12-31,10-K,2018,FY,2019-02-05,0001652044-19-000004
InterestExpense,USD,25000000,2017-01-01,2017-03-31,10-Q,2017,Q1,2017-05-02,0001652044-17-000014
InterestExpense,USD,25000000,2017-01-01,2017-03-31,10-Q,2018,Q1,2018-04-24,0001652044-18-000016
InterestExpense,USD,46000000,2017-01-01,2017-06-30,10-Q,2017,Q2,2017-07-25,0001652044-17-000026
InterestExpense,USD,21000000,2017-04-01,2017-06-30,10-Q,2017,Q2,2017-07-25,0001652044-17-000026
InterestExpense,USD,46000000,2017-01-01,2017-06-30,10-Q,2018,Q2,2018-07-24,0001652044-18-000027
InterestExpense,USD,21000000,2017-04-01,2017-06-30,10-Q,2018,Q2,2018-07-24,0001652044-18-000027
InterestExpense,USD,73000000,2017-01-01,2017-09-30,10-Q,2017,Q3,2017-10-27,0001652044-17-000042
InterestExpense,USD,27000000,2017-07-01,2017-09-30,10-Q,2017,Q3,2017-10-27,0001652044-17-000042
InterestExpense,USD,73000000,2017-01-01,2017-09-30,10-Q,2018,Q3,2018-10-26,0001652044-18-000035
InterestExpense,USD,27000000,2017-07-01,2017-09-30,10-Q,2018,Q3,2018-10-26,0001652044-18-000035
InterestExpense,USD,109000000,2017-01-01,2017-12-31,10-K,2017,FY,2018-02-06,0001652044-18-000007
InterestExpense,USD,109000000,2017-01-01,2017-12-31,10-K,2018,FY,2019-02-05,0001652044-19-000004
InterestExpense,USD,109000000,2017-01-01,2017-12-31,10-K,2019,FY,2020-02-04,0001652044-20-000008
InterestExpense,USD,30000000,2018-01-01,2018-03-31,10-Q,2018,Q1,2018-04-24,0001652044-18-000016
InterestExpense,USD,30000000,2018-01-01,2018-03-31,10-Q,2019,Q1,2019-04-30,0001652044-19-000015
InterestExpense,USD,57000000,2018-01-01,2018-06-30,10-Q,2018,Q2,2018-07-24,0001652044-18-000027
InterestExpense,USD,27000000,2018-04-01,2018-06-30,10-Q,2018,Q2,2018-07-24,0001652044-18-000027
InterestExpense,USD,57000000,2018-01-01,2018-06-30,10-Q,2019,Q2,2019-07-26,0001652044-19-000023
InterestExpense,USD,27000000,2018-04-01,2018-06-30,10-Q,2019,Q2,2019-07-26,0001652044-19-000023
InterestExpense,USD,85000000,2018-01-01,2018-09-30,10-Q,2018,Q3,2018-10-26,0001652044-18-000035
InterestExpense,USD,28000000,2018-07-01,2018-09-30,10-Q,2018,Q3,2018-10-26,0001652044-18-000035
InterestExpense,USD,85000000,2018-01-01,2018-09-30,10-Q,2019,Q3,2019-10-29,0001652044-19-000032
InterestExpense,USD,28000000,2018-07-01,2018-09-30,10-Q,2019,Q3,2019-10-29,0001652044-19-000032
InterestExpense,USD,114000000,2018-01-01,2018-12-31,10-K,2018,FY,2019-02-05,0001652044-19-000004
InterestExpense,USD,114000000,2018-01-01,2018-12-31,10-K,2019,FY,2020-02-04,0001652044-20-000008
InterestExpense,USD,114000000,2018-01-01,2018-12-31,10-K,2020,FY,2021-02-03,0001652044-21-000010
InterestExpense,USD,35000000,2019-01-01,2019-03-31,10-Q,2019,Q1,2019-04-30,0001652044-19-000015
InterestExpense,USD,35000000,2019-01-01,2019-03-31,10-Q,2020,Q1,2020-04-29,0001652044-20-000021
InterestExpense,USD,60000000,2019-01-01,2019-06-30,10-Q,2019,Q2,2019-07-26,0001652044-19-000023
InterestExpense,USD,25000000,2019-04-01,2019-06-30,10-Q,2019,Q2,2019-07-26,0001652044-19-000023
InterestExpense,USD,60000000,2019-01-01,2019-06-30,10-Q,2020,Q2,2020-07-31,0001652044-20-000032
InterestExpense,USD,25000000,2019-04-01,2019-06-30,10-Q,2020,Q2,2020-07-31,0001652044-20-000032
InterestExpense,USD,83000000,2019-01-01,2019-09-30,10-Q,2019,Q3,2019-10-29,0001652044-19-000032
InterestExpense,USD,23000000,2019-07-01,2019-09-30,10-Q,2019,Q3,2019-10-29,0001652044-19-000032
InterestExpense,USD,83000000,2019-01-01,2019-09-30,10-Q,2020,Q3,2020-10-30,0001652044-20-000050
InterestExpense,USD,23000000,2019-07-01,2019-09-30,10-Q,2020,Q3,2020-10-30,0001652044-20-000050
InterestExpense,USD,100000000,2019-01-01,2019-12-31,10-K,2019,FY,2020-02-04,0001652044-20-000008
InterestExpense,USD,100000000,2019-01-01,2019-12-31,10-K,2020,FY,2021-02-03,0001652044-21-000010
InterestExpense,USD,100000000,2019-01-01,2019-12-31,10-K,2021,FY,2022-02-02,0001652044-22-000019
InterestExpense,USD,21000000,2020-01-01,2020-03-31,10-Q,2020,Q1,2020-04-29,0001652044-20-000021
InterestExpense,USD,21000000,2020-01-01,2020-03-31,10-Q,2021,Q1,2021-04-28,0001652044-21-000020
InterestExpense,USD,34000000,2020-01-01,2020-06-30,10-Q,2020,Q2,2020-07-31,0001652044-20-000032
InterestExpense,USD,13000000,2020-04-01,2020-06-30,10-Q,2020,Q2,2020-07-31,0001652044-20-000032
InterestExpense,USD,34000000,2020-01-01,2020-06-30,10-Q,2021,Q2,2021-07-28,0001652044-21-000047
InterestExpense,USD,13000000,2020-04-01,2020-06-30,10-Q,2021,Q2,2021-07-28,0001652044-21-000047
InterestExpense,USD,82000000,2020-01-01,2020-09-30,10-Q,2020,Q3,2020-10-30,0001652044-20-000050
InterestExpense,USD,48000000,2020-07-01,2020-09-30,10-Q,2020,Q3,2020-10-30,0001652044-20-000050
InterestExpense,USD,82000000,2020-01-01,2020-09-30,10-Q,2021,Q3,2021-10-27,0001652044-21-000057
InterestExpense,USD,48000000,2020-07-01,2020-09-30,10-Q,2021,Q3,2021-10-27,0001652044-21-000057
InterestExpense,USD,135000000,2020-01-01,2020-12-31,10-K,2020,FY,2021-02-03,0001652044-21-000010
InterestExpense,USD,135000000,2020-01-01,2020-12-31,10-K,2021,FY,2022-02-02,0001652044-22-000019
InterestExpense,USD,135000000,2020-01-01,2020-12-31,10-K,2022,FY,2023-02-03,0001652044-23-000016
InterestExpense,USD,76000000,2021-01-01,2021-03-31,10-Q,2021,Q1,2021-04-28,0001652044-21-000020
InterestExpense,USD,76000000,2021-01-01,2021-03-31,10-Q,2022,Q1,2022-04-27,0001652044-22-000029
InterestExpense,USD,152000000,2021-01-01,2021-06-30,10-Q,2021,Q2,2021-07-28,0001652044-21-000047
InterestExpense,USD,76000000,2021-04-01,2021-06-30,10-Q,2021,Q2,2021-07-28,0001652044-21-000047
InterestExpense,USD,152000000,2021-01-01,2021-06-30,10-Q,2022,Q2,2022-07-27,0001652044-22-000071
InterestExpense,USD,76000000,2021-04-01,2021-06-30,10-Q,2022,Q2,2022-07-27,0001652044-22-000071
InterestExpense,USD,229000000,2021-01-01,2021-09-30,10-Q,2021,Q3,2021-10-27,0001652044-21-000057
InterestExpense,USD,77000000,2021-07-01,2021-09-30,10-Q,2021,Q3,2021-10-27,0001652044-21-000057
InterestExpense,USD,229000000,2021-01-01,2021-09-30,10-Q,2022,Q3,2022-10-26,0001652044-22-000090
InterestExpense,USD,77000000,2021-07-01,2021-09-30,10-Q,2022,Q3,2022-10-26,0001652044-22-000090
InterestExpense,USD,346000000,2021-01-01,2021-12-31,10-K,2021,FY,2022-02-02,0001652044-22-000019
InterestExpense,USD,346000000,2021-01-01,2021-12-31,10-K,2022,FY,2023-02-03,0001652044-23-000016
InterestExpense,USD,346000000,2021-01-01,2021-12-31,10-K,2023,FY,2024-01-31,0001652044-24-000022
InterestExpense,USD,83000000,2022-01-01,2022-03-31,10-Q,2022,Q1,2022-04-27,0001652044-22-000029
InterestExpense,USD,83000000,2022-01-01,2022-03-31,10-Q,2023,Q1,2023-04-26,0001652044-23-000045
InterestExpense,USD,166000000,2022-01-01,2022-06-30,10-Q,2022,Q2,2022-07-27,0001652044-22-000071
InterestExpense,USD,83000000,2022-04-01,2022-06-30,10-Q,2022,Q2,2022-07-27,0001652044-22-000071
InterestExpense,USD,166000000,2022-01-01,2022-06-30,10-Q,2023,Q2,2023-07-26,0001652044-23-000070
InterestExpense,USD,83000000,2022-04-01,2022-06-30,10-Q,2023,Q2,2023-07-26,0001652044-23-000070
InterestExpense,USD,267000000,2022-01-01,2022-09-30,10-Q,2022,Q3,2022-10-26,0001652044-22-000090
